Regions,Population,GDP,Colour
Andalusia,8388107,203695,#e6ab02
Aragon,1308563,46822,#7570b3
Balearic Islands,1107220,39033,#1b9e77
Basque Autonomous Community,2189534,93755,#e7298a
Canary Islands,2101924,57846,#e7298a
Cantabria,582206,17088,#66a61e
Castile and Leon,2447519,75657,#d95f02
Castile-La Mancha,2041631,52458,#66a61e
Catalonia,7522596,291229,#66a61e
Ceuta y Melilla,NA,4248,#aaaaaa
Chartered Community of Navarre,640647,26092,#e6ab02
Community of Madrid,6466996,288180,#e7298a
Extremadura,1087778,24389,#1b9e77
Galicia,2718525,79629,#e7298a
La Rioja,315794,10783,#1b9e77
Principality of Asturias,1042608,29465,#7570b3
Region of Murcia,1464847,39742,#d95f02
Valencian Community,4959968,142548,#e7298a
