State,Population,Data,Colour
Alabama,,9,#377eb8
Arizona,,11,#4daf4a
Arkansas,,6,#984ea3
California,,55,#4daf4a
Colorado,,9,#984ea3
Connecticut,,7,#4daf4a
Delaware,,3,#ffff33
District of Columbia,,3,#4daf4a
Florida,,29,#377eb8
Georgia,,16,#984ea3
Idaho,,4,#ffff33
Illinois,,20,#4daf4a
Indiana,,11,#4daf4a
Iowa,,6,#ffff33
Kansas,,6,#377eb8
Kentucky,,8,#377eb8
Louisiana,,8,#ff7f00
Maine,,4,#ffff33
Maryland,,10,#4daf4a
Massachusetts,,11,#ffff33
Michigan,,16,#ff7f00
Minnesota,,10,#4daf4a
Mississippi,,6,#4daf4a
Missouri,,10,#ff7f00
Montana,,3,#ff7f00
Nebraska,,5,#984ea3
Nevada,,6,#ffff33
New Hampshire,,4,#ffff33
New Jersey,,14,#ff7f00
New Mexico,,5,#377eb8
New York,,29,#377eb8
North Carolina,,15,#4daf4a
North Dakota,,3,#ffff33
Ohio,,18,#4daf4a
Oklahoma,,7,#ffff33
Oregon,,7,#4daf4a
Pennsylvania,,20,#ff7f00
Rhode Island,,4,#984ea3
South Carolina,,9,#ffff33
South Dakota,,3,#984ea3
Tennessee,,11,#ffff33
Texas,,38,#984ea3
Utah,,6,#ff7f00
Vermont,,3,#ffff33
Virginia,,13,#ffff33
Washington,,12,#984ea3
West Virginia,,5,#377eb8
Wisconsin,,10,#377eb8
Wyoming,,3,#ff7f00
